city, country
annaba,Algeria
lanzarote,Spain
alicante,Spain
assiut,egypt
beirut,lebanon
bejaia,Algeria
batna,Algeria
benin city,nigeria
bourgas,Bulgaria
berne,Switzerland
biskra,Algeria
brive-la-gaillarde,france
bechar,Algeria
clermont-ferrand,france
chlef,Algeria
cluj,Romania
chernovtsy,Ukraine
el obeid,Sudan
el fasher,Sudan
el oued,Algeria
laayoune,Morocco
flores island (azores),portugal
gabes,Tunisia
jijel,Algeria
patras,Greece
heraklion,Greece
kharkov,Ukraine
ivano-frankovsk,Ukraine
kilimanjaro,Tanzania
kiev/kyiv,Ukraine
krakow,poland
la coruna,spain
leipzig/halle,germany
laghouat,Algeria
latakia,Syria
lviv,Ukraine
malta,malta
"mulhouse, france/basel",France
misurata,Libya
ndjamena,Chad
nikolaev,Ukraine
odessa,Ukraine
ouargla,Algeria
oran,Algeria
asturias,Spain
zaporozhye,Ukraine
palma mallorca,Spain
polokwane,South Africa
port sudan,Sudan
setif,Algeria
marrakech,Morocco
reggio calabria,italy
saarbruecken,Germany
tel aviv-yafo,Israel
sebha,Libya
southend,united kingdom
sfax,Tunisia
sert,Libya
tebessa,Algeria
tenerife,Spain
tenerife,Spain
tirgu mures,Romania
tiaret,Algeria
tlemcen,Algeria
tel aviv-yafo,Israel
sao tome island,São Tomé and Príncipe
samburu,Kenya
uzhgorod,Ukraine
nyala,Sudan
jerez de la frontera,Spain
